"ath1_probe";"probe_target_number";"FC_35LFY_Ler_GSE911";"pfp_35LFY_Ler_GSE911";"P.value_35LFY_Ler_GSE911";"FC_DexCyclo_Cyclo_GSE911";"pfp_FC_DexCyclo_Cyclo_GSE911";"P.value_FC_DexCyclo_Cyclo_GSE911";"FC_DEX_MOCK_GSE911";"pfp_DEX_MOCK_GSE911";"P.value_DEX_MOCK_GSE911";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_GSE28062";"P.value_LFYGR_WT_GSE28062"
"249675_at";4775;0.3402;"0.0253";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249727_at";4827;0.4717;"0.0806";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249797_at";4897;0.5039;"0.0941";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249848_at";4948;NA;NA;NA;NA;NA;NA;5.9491;0.0121;"0";NA;NA;NA
"249866_at";4966;0.4994;"0.0929";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249867_at";4967;0.3757;"0.038";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"249894_at";4994;0.4207;"0.0534";"0,0002";NA;NA;NA;0.066;0;"0";0.2779;"0,0002";"0"
"249895_at";4995;NA;NA;NA;NA;NA;NA;0.2299;0.0458;"0,0001";0.1892;"0";"0"
"249914_at";5014;NA;NA;NA;NA;NA;NA;3.0753;0.0732;"0,0001";1.7225;"0.0034";"0"
"249932_at";5032;3.6599;"0.0205";"0";NA;NA;NA;2.8327;0.0736;"0,0001";7.9954;"0";"0"
"249983_at";5083;2.1891;"0.0723";"0,0004";NA;NA;NA;NA;NA;NA;0.6068;"0.022";"0,0008"
"250054_at";5154;2.7151;"0.0397";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250157_at";5257;0.2737;"0.0056";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250228_at";5328;2.2246;"0.0811";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250248_at";5348;2.2146;"0.063";"0,0003";NA;NA;NA;NA;NA;NA;0.5111;"0.0072";"0,0002"
"250327_at";5427;0.4963;"0.0934";"0,0007";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250407_at";5507;0.4423;"0.0699";"0,0004";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250474_at";5574;0.3719;"0.0383";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250475_at";5575;0.397;"0.0457";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250517_at";5617;NA;NA;NA;NA;NA;NA;0.1984;0.0354;"0,0001";0.3545;"0,0009";"0"
"250541_at";5641;0.4764;"0.0808";"0,0005";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250580_at";5680;2.0075;"0.0898";"0,0006";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250661_at";5761;NA;NA;NA;NA;NA;NA;0.2751;0.0916;"0,0003";0.3724;"0.0011";"0"
"250662_at";5762;NA;NA;NA;0.2045;0.01;"0";NA;NA;NA;0.2573;"0,0002";"0"
"250669_at";5769;2.7251;"0.0403";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250746_at";5846;0.4795;"0.0842";"0,0006";NA;NA;NA;NA;NA;NA;0.4939;"0.009";"0,0002"
"250764_at";5864;NA;NA;NA;NA;NA;NA;0.2322;0.0473;"0,0001";0.2275;"0";"0"
"250828_at";5928;2.9464;"0.0366";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250881_at";5981;0.5032;"0.0927";"0,0008";NA;NA;NA;NA;NA;NA;NA;NA;NA
"250936_at";6036;NA;NA;NA;9.8223;0.0071;"0";NA;NA;NA;1.6337;"0.0172";"0,0002"
"250937_at";6037;NA;NA;NA;NA;NA;NA;4.8068;0.0138;"0";4.3777;"0";"0"
"250992_at";6092;NA;NA;NA;NA;NA;NA;0.2707;0.0824;"0,0002";NA;NA;NA
"251017_at";6117;0.2806;"0.0076";"0";0.1427;0;"0";0.0567;0;"0";0.0521;"0";"0"
"251019_at";6119;0.4194;"0.0571";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251109_at";6209;0.3497;"0.028";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251144_at";6244;NA;NA;NA;0.2126;0.0083;"0";0.1457;0.0113;"0";0.7423;"0.095";"0.0053"
"251195_at";6295;NA;NA;NA;NA;NA;NA;0.2377;0.053;"0,0001";0.5823;"0.0191";"0,0006"
"251221_at";6321;2.4229;"0.0483";"0,0002";NA;NA;NA;NA;NA;NA;1.5707;"0.0204";"0,0003"
"251244_at";6344;3.0117;"0.0375";"0,0001";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251293_at";6393;4.5426;"0.0104";"0";NA;NA;NA;NA;NA;NA;NA;NA;NA
"251373_at";6473;2.5977;"0.0451";"0,0002";NA;NA;NA;NA;NA;NA;NA;NA;NA
