"ath1_probe";"probe_target_number";"FC_LFYGR_WT_GSE28062";"pfp_LFYGR_WT_down";"P.value_LFYGR_WT_down";"pfp_LFYGR_WT_up";"P.value_LFYGR_WT_up"
"258738_at";"13838";"1.1257";"1.5742";"0.4878";"0.4139";"0.0494"
"258739_s_at";"13839";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258740_at";"13840";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258741_at";"13841";"1.8366";"1.0458";"0.998";"0.0044";"0"
"258742_at";"13842";"2.9007";"1.0025";"1";"0.0002";"0"
"258743_s_at";"13843";"0.8454";"0.3127";"0.0283";"1.0775";"0.9973"
"258744_at";"13844";"0.8521";"0.4284";"0.0452";"1.1008";"0.9374"
"258745_at";"13845";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258746_at";"13846";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258747_at";"13847";"2.1249";"1.0038";"1";"0.0002";"0"
"258748_at";"13848";"1.0002";"1.0723";"0.8093";"1.4555";"0.5761"
"258749_at";"13849";"1.0145";"1.6821";"0.6716";"1.3642";"0.4923"
"258750_at";"13850";"0.9419";"1.3195";"0.3156";"1.5095";"0.6328"
"258751_at";"13851";"0.8917";"0.5282";"0.0626";"1.0966";"0.9912"
"258752_at";"13852";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258753_at";"13853";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258754_at";"13854";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258755_at";"13855";"1.027";"1.0519";"0.762";"1.0598";"0.2929"
"258756_at";"13856";"1.1944";"1.1106";"0.9444";"0.3051";"0.0281"
"258757_at";"13857";"1.0314";"1.098";"0.8811";"1.2239";"0.3917"
"258758_at";"13858";"0.9255";"0.9734";"0.1748";"1.0778";"0.8868"
"258759_at";"13859";"0.9685";"1.2713";"0.2936";"1.0681";"0.8659"
"258760_at";"13860";"1.0052";"1.0524";"0.765";"1.5099";"0.6321"
"258761_at";"13861";"1.0497";"1.0541";"0.7704";"1.0227";"0.2734"
"258762_at";"13862";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258763_s_at";"13863";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258764_at";"13864";"0.7072";"0.0622";"0.0031";"1.0458";"0.9998"
"258765_at";"13865";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258766_at";"13866";"1.1609";"1.0701";"0.9933";"0.408";"0.0481"
"258767_at";"13867";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258768_at";"13868";"0.7979";"0.2937";"0.0257";"1.1091";"0.9723"
"258769_at";"13869";"0.1435";"0";"0";"1.0016";"1"
"258770_at";"13870";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258771_at";"13871";"1.0641";"1.0833";"0.8397";"0.8693";"0.1992"
"258772_at";"13872";"1.0435";"1.0843";"0.8419";"1.0626";"0.2941"
"258773_at";"13873";"0.9969";"1.5521";"0.4674";"1.4597";"0.5817"
"258774_at";"13874";"0.912";"0.8427";"0.1344";"1.059";"0.8473"
"258775_at";"13875";"1.1298";"1.0726";"0.9926";"0.5099";"0.0727"
"258776_at";"13876";"0.9091";"0.6809";"0.0927";"1.1068";"0.9796"
"258777_at";"13877";"1.1481";"1.0932";"0.98";"0.4542";"0.0589"
"258778_s_at";"13878";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258779_at";"13879";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258780_at";"13880";"1.0592";"1.0995";"0.9742";"0.8394";"0.1862"
"258781_at";"13881";"1";"1.2772";"0.6831";"1.2194";"0.7517"
"258782_at";"13882";"0.767";"0.2656";"0.0221";"1.1027";"0.9411"
"258783_at";"13883";"0.8604";"0.3755";"0.0366";"1.0822";"0.9964"
"258784_at";"13884";"1.4323";"1.0167";"0.9999";"0.0362";"0.0007"
"258785_at";"13885";"0.9857";"1.549";"0.4635";"1.495";"0.6871"
